,Game ID,Team,Away or Home,Score,Rank,Date,Field Goals,3 Pointers,Free Throws,Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Rank Diff,Score Diff,Win,Cumulative Avg Points,Cumulative Field Goals Avg,Cumulative 3 Pointers Avg,Cumulative Free Throws Avg
0,6289933,Queens (N.C.),Away team,69.0,8,4,0.3448275862068966,0.44,0.8181818181818182,38,14,24,11,8,1,13,17,1,6.0,1,69.0,0.3448275862068966,0.44,0.8181818181818182
1,6289933,Fla. Gulf Coast,Home team,63.0,7,4,0.4528301886792453,0.38095238095238093,0.5,36,8,28,8,10,5,16,16,-1,-6.0,0,63.0,0.4528301886792453,0.38095238095238093,0.5
2,6290143,Holy Cross,Away team,84.0,9,5,0.5294117647058824,0.631578947368421,0.8181818181818182,36,7,29,16,3,4,7,11,1,16.0,1,84.0,0.5294117647058824,0.631578947368421,0.8181818181818182
3,6290143,Army,Home team,68.0,8,5,0.4126984126984127,0.22857142857142856,0.5714285714285714,31,11,20,17,6,3,4,17,-1,-16.0,0,68.0,0.4126984126984127,0.22857142857142856,0.5714285714285714
4,6289929,Jacksonville,Away team,67.0,10,5,0.3793103448275862,0.3333333333333333,0.9047619047619048,36,15,21,11,6,2,7,15,9,2.0,1,67.0,0.3793103448275862,0.3333333333333333,0.9047619047619048
5,6289929,Eastern Kentucky,Home team,65.0,1,5,0.4406779661016949,0.1875,0.5882352941176471,38,16,22,10,4,4,11,15,-9,-2.0,0,65.0,0.4406779661016949,0.1875,0.5882352941176471
6,6289932,Queens (N.C.),Away team,71.0,8,5,0.38028169014084506,0.21428571428571427,0.6875,40,16,24,7,5,1,8,16,6,-12.0,0,70.0,0.3625546381738708,0.3271428571428571,0.7528409090909092
7,6289932,Stetson,Home team,83.0,2,5,0.5166666666666667,0.28,0.9333333333333333,38,6,32,11,4,4,6,18,-6,12.0,1,83.0,0.5166666666666667,0.28,0.9333333333333333
8,6290137,IUPUI,Away team,66.0,10,5,0.5102040816326531,0.18181818181818182,0.6666666666666666,25,9,16,9,9,0,19,15,3,-19.0,0,66.0,0.5102040816326531,0.18181818181818182,0.6666666666666666
9,6290137,Cleveland St.,Home team,85.0,7,5,0.6,0.4,0.45454545454545453,31,11,20,16,12,1,15,17,-3,19.0,1,85.0,0.6,0.4,0.45454545454545453
10,6290144,Loyola (MD),Away team,48.0,10,5,0.2698412698412698,0.2608695652173913,0.6153846153846154,35,16,19,7,8,2,9,17,3,-16.0,0,48.0,0.2698412698412698,0.2608695652173913,0.6153846153846154
11,6290144,Navy,Home team,64.0,7,5,0.44,0.36363636363636365,0.8,44,11,33,15,2,4,13,18,-3,16.0,1,64.0,0.44,0.36363636363636365,0.8
12,6289934,North Alabama,Away team,77.0,6,5,0.4666666666666667,0.52,0.6666666666666666,35,8,27,11,6,3,11,13,3,2.0,1,77.0,0.4666666666666667,0.52,0.6666666666666666
13,6289934,Lipscomb,Home team,75.0,3,5,0.4375,0.36,0.7692307692307693,33,10,23,11,7,4,7,14,-3,-2.0,0,75.0,0.4375,0.36,0.7692307692307693
14,6290136,Detroit,Away team,79.0,11,5,0.5087719298245614,0.34615384615384615,0.7058823529411765,27,6,21,16,7,2,14,19,5,-4.0,0,79.0,0.5087719298245614,0.34615384615384615,0.7058823529411765
15,6290136,Milwaukee,Home team,83.0,6,5,0.5333333333333333,0.10526315789473684,0.85,32,7,25,18,5,2,10,17,-5,4.0,1,83.0,0.5333333333333333,0.10526315789473684,0.85
16,6289734,Old Dominion,Away team,83.0,14,5,0.4461538461538462,0.3,0.7916666666666666,44,16,28,11,7,5,18,28,3,-9.0,0,83.0,0.4461538461538462,0.3,0.7916666666666666
17,6289734,Texas St.,Home team,92.0,11,5,0.4426229508196721,0.4,0.6956521739130435,37,14,23,13,10,6,11,17,-3,9.0,1,92.0,0.4426229508196721,0.4,0.6956521739130435
18,6290113,Long Island,Away team,66.0,7,6,0.40625,0.3,0.8461538461538461,40,14,26,7,11,1,18,22,5,-6.0,0,66.0,0.40625,0.3,0.8461538461538461
19,6290113,Merrimack,Home team,72.0,2,6,0.4074074074074074,0.36,0.8636363636363636,32,7,25,11,10,5,16,11,-5,6.0,1,72.0,0.4074074074074074,0.36,0.8636363636363636
20,6290115,F. Dickinson,Away team,61.0,5,6,0.32786885245901637,0.2777777777777778,0.8,39,12,27,11,6,2,13,17,1,-21.0,0,61.0,0.32786885245901637,0.2777777777777778,0.8
21,6290115,Le Moyne,Home team,82.0,4,6,0.4426229508196721,0.37142857142857144,0.8333333333333334,42,9,33,18,9,4,11,14,-1,21.0,1,82.0,0.4426229508196721,0.37142857142857144,0.8333333333333334
22,6289853,Southern Ind.,Away team,64.0,8,6,0.46153846153846156,0.2692307692307692,0.6923076923076923,26,8,18,13,10,6,18,27,3,-14.0,0,64.0,0.46153846153846156,0.2692307692307692,0.6923076923076923
23,6289853,Tennessee St.,Home team,78.0,5,6,0.5,0.3333333333333333,0.7941176470588235,32,9,23,10,11,2,16,17,-3,14.0,1,78.0,0.5,0.3333333333333333,0.7941176470588235
24,6289985,Radford,Away team,67.0,9,6,0.3283582089552239,0.125,0.875,51,21,30,9,3,2,9,19,1,7.0,1,67.0,0.3283582089552239,0.125,0.875
25,6289985,USC Upstate,Home team,60.0,8,6,0.42592592592592593,0.22727272727272727,0.47368421052631576,33,7,26,14,5,7,12,16,-1,-7.0,0,60.0,0.42592592592592593,0.22727272727272727,0.47368421052631576
26,6289852,Eastern Illinois,Away team,57.0,7,6,0.3770491803278688,0.21052631578947367,0.7,34,13,21,11,9,6,13,18,1,-11.0,0,57.0,0.3770491803278688,0.21052631578947367,0.7
27,6289852,SIU Edwardsville,Home team,68.0,6,6,0.44642857142857145,0.3157894736842105,0.8,39,12,27,10,8,5,14,8,-1,11.0,1,68.0,0.44642857142857145,0.3157894736842105,0.8
28,6289729,Georgia Southern,Away team,76.0,9,7,0.4745762711864407,0.375,0.7333333333333333,49,12,37,10,5,11,21,22,1,5.0,1,76.0,0.4745762711864407,0.375,0.7333333333333333
29,6289729,South Alabama,Home team,71.0,8,7,0.328125,0.2777777777777778,0.7741935483870968,32,11,21,5,10,5,8,13,-1,-5.0,0,71.0,0.328125,0.2777777777777778,0.7741935483870968
30,6290195,Missouri St.,Away team,60.0,9,7,0.44680851063829785,0.3,0.8,41,6,35,14,3,6,11,18,1,25.0,1,60.0,0.44680851063829785,0.3,0.8
31,6290195,Murray St.,Home team,35.0,8,7,0.21052631578947367,0.1,0.5625,35,14,21,5,4,1,8,17,-1,-25.0,0,35.0,0.21052631578947367,0.1,0.5625
32,6289730,Coastal Carolina,Away team,66.0,13,7,0.4,0.15,0.7894736842105263,41,15,26,8,5,3,16,13,8,-14.0,0,66.0,0.4,0.15,0.7894736842105263
33,6289730,Louisiana,Home team,80.0,5,7,0.484375,0.3103448275862069,0.6428571428571429,32,10,22,18,11,3,8,17,-8,14.0,1,80.0,0.484375,0.3103448275862069,0.6428571428571429
34,6290196,Valparaiso,Away team,61.0,12,7,0.275,0.18181818181818182,0.6470588235294118,50,21,29,10,10,5,10,15,7,-25.0,0,61.0,0.275,0.18181818181818182,0.6470588235294118
35,6290196,Belmont,Home team,86.0,5,7,0.5238095238095238,0.35714285714285715,0.5882352941176471,44,5,39,24,9,4,11,15,-7,25.0,1,86.0,0.5238095238095238,0.35714285714285715,0.5882352941176471
36,6290187,Pacific,Away team,43.0,9,7,0.25,0.21739130434782608,0.5882352941176471,26,8,18,10,5,2,16,15,1,-59.0,0,43.0,0.25,0.21739130434782608,0.5882352941176471
37,6290187,Pepperdine,Home team,102.0,8,7,0.6,0.3684210526315789,0.7083333333333334,50,13,37,28,7,2,11,16,-1,59.0,1,102.0,0.6,0.3684210526315789,0.7083333333333334
38,6289731,Texas St.,Away team,75.0,11,7,0.4642857142857143,0.2857142857142857,0.7777777777777778,44,15,29,8,9,1,15,16,5,16.0,1,83.5,0.4534543325526932,0.34285714285714286,0.7367149758454106
39,6289731,Southern Miss,Home team,59.0,6,7,0.4074074074074074,0.25,0.5789473684210527,27,9,18,12,8,6,15,19,-5,-16.0,0,59.0,0.4074074074074074,0.25,0.5789473684210527
40,6290139,Purdue Ft. Wayne,Away team,65.0,8,7,0.38333333333333336,0.375,0.7777777777777778,30,8,22,18,5,3,15,15,7,-10.0,0,65.0,0.38333333333333336,0.375,0.7777777777777778
41,6290139,Oakland,Home team,75.0,1,7,0.5094339622641509,0.3333333333333333,0.9375,34,4,30,14,10,8,12,14,-7,10.0,1,75.0,0.5094339622641509,0.3333333333333333,0.9375
42,6290140,Cleveland St.,Away team,82.0,7,7,0.48333333333333334,0.5,0.5925925925925926,38,12,26,13,5,2,8,16,5,12.0,1,83.5,0.5416666666666666,0.45,0.5235690235690236
43,6290140,Youngstown St.,Home team,70.0,2,7,0.4426229508196721,0.16129032258064516,0.7333333333333333,32,9,23,12,4,4,11,20,-5,-12.0,0,70.0,0.4426229508196721,0.16129032258064516,0.7333333333333333
44,6290145,Holy Cross,Away team,64.0,9,7,0.4807692307692308,0.2916666666666667,0.6363636363636364,26,4,22,11,3,3,12,17,8,-17.0,0,74.0,0.5050904977375565,0.4616228070175439,0.7272727272727273
45,6290145,Colgate,Home team,81.0,1,7,0.5686274509803921,0.47058823529411764,0.6818181818181818,28,3,25,19,8,3,6,8,-8,17.0,1,81.0,0.5686274509803921,0.47058823529411764,0.6818181818181818
46,6290146,Lehigh,Away team,76.0,6,7,0.5384615384615384,0.65,0.7777777777777778,39,5,34,24,10,2,18,16,3,15.0,1,76.0,0.5384615384615384,0.65,0.7777777777777778
47,6290146,Lafayette,Home team,61.0,3,7,0.3870967741935484,0.24,0.4666666666666667,29,9,20,16,13,5,10,13,-3,-15.0,0,61.0,0.3870967741935484,0.24,0.4666666666666667
48,6290147,Navy,Away team,61.0,7,7,0.36065573770491804,0.16666666666666666,0.8125,40,16,24,11,5,3,10,14,5,-9.0,0,62.5,0.400327868852459,0.26515151515151514,0.80625
49,6290147,Boston U,Home team,70.0,2,7,0.4098360655737705,0.2916666666666667,0.8666666666666667,39,14,25,15,5,6,10,17,-5,9.0,1,70.0,0.4098360655737705,0.2916666666666667,0.8666666666666667
50,6290148,Bucknell,Away team,80.0,5,7,0.46551724137931033,0.36,0.7727272727272727,34,12,22,11,7,1,3,20,1,23.0,1,80.0,0.46551724137931033,0.36,0.7727272727272727
51,6290148,American,Home team,57.0,4,7,0.3404255319148936,0.24,0.7916666666666666,33,10,23,9,0,4,11,20,-1,-23.0,0,57.0,0.3404255319148936,0.24,0.7916666666666666
52,6290197,Evansville,Away team,59.0,10,7,0.3220338983050847,0.22580645161290322,0.7777777777777778,38,14,24,12,7,1,6,17,3,6.0,1,59.0,0.3220338983050847,0.22580645161290322,0.7777777777777778
53,6290197,Illinois St.,Home team,53.0,7,7,0.375,0.23809523809523808,0.6666666666666666,36,10,26,13,4,5,12,18,-3,-6.0,0,53.0,0.375,0.23809523809523808,0.6666666666666666
54,6290804,Jacksonville,Away team,87.0,10,7,0.509090909090909,0.3888888888888889,0.75,36,15,21,10,4,0,9,21,8,-1.0,0,77.0,0.4442006269592476,0.3611111111111111,0.8273809523809523
55,6290804,Stetson,Home team,88.0,2,7,0.58,0.5909090909090909,0.6538461538461539,18,4,14,15,6,5,6,23,-8,1.0,1,85.5,0.5483333333333333,0.4354545454545455,0.7935897435897437
56,6289850,Tennessee St.,Away team,59.0,5,7,0.3382352941176471,0.2777777777777778,0.7272727272727273,36,13,23,12,15,7,12,25,1,-2.0,0,68.5,0.41911764705882354,0.3055555555555556,0.7606951871657754
57,6289850,Western Illinois,Home team,61.0,4,7,0.375,0.17647058823529413,0.5517241379310345,52,19,33,12,4,8,19,13,-1,2.0,1,61.0,0.375,0.17647058823529413,0.5517241379310345
58,6290142,N Kentucky,Away team,99.0,5,7,0.5373134328358209,0.42857142857142855,0.75,34,8,26,13,7,1,14,19,1,2.0,1,99.0,0.5373134328358209,0.42857142857142855,0.75
59,6290142,Wright St.,Home team,97.0,4,7,0.5138888888888888,0.38095238095238093,0.7142857142857143,40,14,26,17,10,3,14,18,-1,-2.0,0,97.0,0.5138888888888888,0.38095238095238093,0.7142857142857143
60,6290805,North Alabama,Away team,71.0,6,7,0.46296296296296297,0.4166666666666667,0.7272727272727273,28,7,21,10,5,1,5,15,2,-6.0,0,74.0,0.4648148148148148,0.4683333333333334,0.696969696969697
61,6290805,Austin Peay,Home team,77.0,4,7,0.5098039215686274,0.4,0.875,31,6,25,9,1,3,8,16,-2,6.0,1,77.0,0.5098039215686274,0.4,0.875
62,6290141,Milwaukee,Away team,95.0,6,7,0.5245901639344263,0.2857142857142857,0.7714285714285715,39,7,32,14,3,4,8,23,3,11.0,1,89.0,0.5289617486338798,0.19548872180451127,0.8107142857142857
63,6290141,Green Bay,Home team,84.0,3,7,0.4264705882352941,0.25806451612903225,0.72,35,10,25,14,2,3,10,25,-3,-11.0,0,84.0,0.4264705882352941,0.25806451612903225,0.72
64,6290198,Illinois-Chicago,Away team,84.0,11,7,0.4927536231884058,0.35,0.5625,42,9,33,16,6,3,10,20,5,2.0,1,84.0,0.4927536231884058,0.35,0.5625
65,6290198,Southern Ill.,Home team,82.0,6,7,0.37681159420289856,0.37142857142857144,0.68,40,10,30,16,5,3,7,16,-5,-2.0,0,82.0,0.37681159420289856,0.37142857142857144,0.68
66,6289851,SIU Edwardsville,Away team,63.0,6,7,0.3620689655172414,0.2631578947368421,0.8888888888888888,36,11,25,5,4,2,14,21,3,-15.0,0,65.5,0.4042487684729064,0.2894736842105263,0.8444444444444444
67,6289851,Morehead St.,Home team,78.0,3,7,0.5,0.3333333333333333,0.6086956521739131,34,8,26,12,5,4,9,20,-3,15.0,1,78.0,0.5,0.3333333333333333,0.6086956521739131
68,6290191,Missouri St.,Away team,59.0,9,8,0.3442622950819672,0.21428571428571427,0.7777777777777778,39,12,27,11,6,7,13,14,8,-16.0,0,59.5,0.39553540286013256,0.2571428571428571,0.788888888888889
69,6290191,Indiana St.,Home team,75.0,1,8,0.4444444444444444,0.3333333333333333,0.8181818181818182,36,7,29,23,7,3,10,16,-8,16.0,1,75.0,0.4444444444444444,0.3333333333333333,0.8181818181818182
70,6289982,Longwood,Away team,69.0,5,8,0.39655172413793105,0.3684210526315789,0.8888888888888888,35,12,23,8,8,1,7,13,1,13.0,1,69.0,0.39655172413793105,0.3684210526315789,0.8888888888888888
71,6289982,Winthrop,Home team,56.0,4,8,0.42857142857142855,0.34615384615384615,0.7142857142857143,30,6,24,15,5,6,14,18,-1,-13.0,0,56.0,0.42857142857142855,0.34615384615384615,0.7142857142857143
72,6290088,William & Mary,Away team,79.0,13,8,0.4090909090909091,0.3333333333333333,0.6086956521739131,44,14,30,12,4,2,4,12,1,17.0,1,79.0,0.4090909090909091,0.3333333333333333,0.6086956521739131
73,6290088,NC A&T,Home team,62.0,12,8,0.3939393939393939,0.15789473684210525,0.6363636363636364,41,12,29,8,2,6,6,19,-1,-17.0,0,62.0,0.3939393939393939,0.15789473684210525,0.6363636363636364
74,6290192,Belmont,Away team,62.0,5,8,0.3770491803278688,0.2962962962962963,0.5714285714285714,37,5,32,10,9,3,12,20,1,-5.0,0,74.0,0.45042935206869633,0.32671957671957674,0.5798319327731092
75,6290192,Northern Iowa,Home team,67.0,4,8,0.3333333333333333,0.2222222222222222,0.7241379310344828,46,12,34,12,7,5,11,15,-1,5.0,1,67.0,0.3333333333333333,0.2222222222222222,0.7241379310344828
76,6290089,Hampton,Away team,56.0,14,8,0.3728813559322034,0.23529411764705882,0.8888888888888888,38,9,29,15,5,4,12,19,3,1.0,1,56.0,0.3728813559322034,0.23529411764705882,0.8888888888888888
77,6290089,Elon,Home team,55.0,11,8,0.3392857142857143,0.2222222222222222,0.5238095238095238,41,14,27,9,8,3,13,12,-3,-1.0,0,55.0,0.3392857142857143,0.2222222222222222,0.5238095238095238
78,6290097,The Citadel,Away team,76.0,9,8,0.4603174603174603,0.29411764705882354,0.5652173913043478,31,11,20,11,3,3,10,16,1,-8.0,0,76.0,0.4603174603174603,0.29411764705882354,0.5652173913043478
79,6290097,Mercer,Home team,84.0,8,8,0.5660377358490566,0.5333333333333333,0.6153846153846154,35,6,29,14,7,7,9,18,-1,8.0,1,84.0,0.5660377358490566,0.5333333333333333,0.6153846153846154
80,6289983,Charleston So.,Away team,55.0,7,8,0.34545454545454546,0.3,0.6111111111111112,45,11,34,11,3,5,14,18,5,-5.0,0,55.0,0.34545454545454546,0.3,0.6111111111111112
81,6289983,UNC Asheville,Home team,60.0,2,8,0.36666666666666664,0.28,0.6923076923076923,36,7,29,16,3,2,5,15,-5,5.0,1,60.0,0.36666666666666664,0.28,0.6923076923076923
82,6290193,Evansville,Away team,58.0,10,8,0.41818181818181815,0.25,0.6666666666666666,31,3,28,8,5,3,12,18,8,-21.0,0,58.5,0.37010785824345144,0.23790322580645162,0.7222222222222222
83,6290193,Drake,Home team,79.0,2,8,0.41935483870967744,0.3103448275862069,0.8181818181818182,37,9,28,18,7,1,7,13,-8,21.0,1,79.0,0.41935483870967744,0.3103448275862069,0.8181818181818182
84,6289848,Western Illinois,Away team,57.0,4,8,0.29850746268656714,0.2222222222222222,0.6111111111111112,40,19,21,12,7,5,13,12,3,-25.0,0,59.0,0.33675373134328357,0.19934640522875818,0.5814176245210728
85,6289848,Little Rock,Home team,82.0,1,8,0.53125,0.36363636363636365,0.8333333333333334,40,10,30,20,8,8,7,17,-3,25.0,1,82.0,0.53125,0.36363636363636365,0.8333333333333334
86,6289984,Presbyterian,Away team,60.0,6,8,0.39344262295081966,0.29411764705882354,0.7,37,11,26,12,8,2,13,10,3,-1.0,0,60.0,0.39344262295081966,0.29411764705882354,0.7
87,6289984,Gardner-Webb,Home team,61.0,3,8,0.43137254901960786,0.5,0.6,33,6,27,14,7,7,14,13,-3,1.0,1,61.0,0.43137254901960786,0.5,0.6
88,6290462,South Dakota,Away team,62.0,9,8,0.4074074074074074,0.375,0.6428571428571429,29,5,24,13,1,3,9,14,1,-15.0,0,62.0,0.4074074074074074,0.375,0.6428571428571429
89,6290462,Oral Roberts,Home team,77.0,8,8,0.4576271186440678,0.38461538461538464,0.8666666666666667,36,8,28,12,6,2,6,15,-1,15.0,1,77.0,0.4576271186440678,0.38461538461538464,0.8666666666666667
90,6290185,Pepperdine,Away team,52.0,8,8,0.3541666666666667,0.3125,0.7647058823529411,36,11,25,12,4,6,18,17,3,-5.0,0,77.0,0.4770833333333333,0.3404605263157895,0.7365196078431373
91,6290185,San Diego,Home team,57.0,5,8,0.3090909090909091,0.42105263157894735,0.6521739130434783,40,16,24,11,12,2,14,20,-3,5.0,1,57.0,0.3090909090909091,0.42105263157894735,0.6521739130434783
92,6290194,Illinois-Chicago,Away team,47.0,11,8,0.24074074074074073,0.125,0.72,28,8,20,7,12,3,10,15,8,-27.0,0,65.5,0.3667471819645733,0.2375,0.64125
93,6290194,Bradley,Home team,74.0,3,8,0.5283018867924528,0.5217391304347826,0.42857142857142855,47,9,38,17,7,6,17,19,-8,27.0,1,74.0,0.5283018867924528,0.5217391304347826,0.42857142857142855
94,6289849,Morehead St.,Away team,84.0,3,8,0.42857142857142855,0.45714285714285713,0.5333333333333333,45,15,30,20,5,3,12,14,1,6.0,1,81.0,0.4642857142857143,0.3952380952380952,0.5710144927536231
95,6289849,UT Martin,Home team,78.0,2,8,0.4153846153846154,0.25,0.8571428571428571,38,9,29,6,7,7,10,14,-1,-6.0,0,78.0,0.4153846153846154,0.25,0.8571428571428571
96,6290186,LMU,Away team,70.0,7,8,0.47540983606557374,0.3333333333333333,1.0,29,10,19,14,6,4,6,15,1,-8.0,0,70.0,0.47540983606557374,0.3333333333333333,1.0
97,6290186,Portland,Home team,78.0,6,8,0.4807692307692308,0.4827586206896552,0.7777777777777778,33,11,22,14,4,1,9,6,-1,8.0,1,78.0,0.4807692307692308,0.4827586206896552,0.7777777777777778
98,6289979,Longwood,Away team,80.0,5,9,0.4406779661016949,0.5333333333333333,0.7142857142857143,40,13,27,16,4,4,14,22,4,1.0,1,74.5,0.41861484511981295,0.4508771929824561,0.8015873015873016
99,6289979,High Point,Home team,79.0,1,9,0.39344262295081966,0.3333333333333333,0.7407407407407407,35,14,21,10,5,2,12,21,-4,-1.0,0,79.0,0.39344262295081966,0.3333333333333333,0.7407407407407407
100,6290084,Campbell,Away team,67.0,9,9,0.4418604651162791,0.38095238095238093,0.75,21,5,16,10,7,2,13,13,1,-23.0,0,67.0,0.4418604651162791,0.38095238095238093,0.75
101,6290084,Monmouth,Home team,90.0,8,9,0.5522388059701493,0.3333333333333333,0.8888888888888888,37,14,23,22,6,3,9,21,-1,23.0,1,90.0,0.5522388059701493,0.3333333333333333,0.8888888888888888
102,6290093,Mercer,Away team,57.0,8,9,0.3684210526315789,0.2222222222222222,0.6875,33,11,22,6,8,8,9,10,7,-13.0,0,70.5,0.46722939424031773,0.37777777777777777,0.6514423076923077
103,6290093,Samford,Home team,70.0,1,9,0.45,0.4166666666666667,0.8571428571428571,40,12,28,13,5,2,12,15,-7,13.0,1,70.0,0.45,0.4166666666666667,0.8571428571428571
104,6291015,Le Moyne,Away team,51.0,4,9,0.3469387755102041,0.3,0.9166666666666666,33,9,24,10,7,0,16,16,2,-10.0,0,66.5,0.3947808631649381,0.33571428571428574,0.875
105,6291015,Merrimack,Home team,61.0,2,9,0.42857142857142855,0.28,0.9230769230769231,29,5,24,12,9,5,12,16,-2,10.0,1,66.5,0.41798941798941797,0.32,0.8933566433566433
106,6289725,Georgia Southern,Away team,80.0,9,9,0.36585365853658536,0.36,0.7333333333333333,36,17,19,12,11,1,4,21,8,-5.0,0,78.0,0.420214964861513,0.3675,0.7333333333333333
107,6289725,Appalachian St.,Home team,85.0,1,9,0.5172413793103449,0.2,0.8518518518518519,47,11,36,17,3,12,17,13,-8,5.0,1,85.0,0.5172413793103449,0.2,0.8518518518518519
108,6289980,Gardner-Webb,Away team,72.0,3,9,0.4,0.25,0.6666666666666666,45,13,32,14,4,2,17,21,1,-11.0,0,66.5,0.41568627450980394,0.375,0.6333333333333333
109,6289980,UNC Asheville,Home team,83.0,2,9,0.4838709677419355,0.34615384615384615,0.6363636363636364,33,4,29,23,9,6,9,15,-1,11.0,1,71.5,0.4252688172043011,0.3130769230769231,0.6643356643356644
